,token_id
0,Afr-0045_170_elephants-11
1,Bel-4321_129_cones-6
2,Red-a286_103_squirrels-30
3,Wat-9861_153_buffaloes-5
4,Meg-fd01_213_mammals-3
5,Eur-ee4d_29_birds-9
6,Bar-4870_40_bird-5
7,Sno-0a8f_263_owls-13
8,Chi-c10a_17_chimpanzee-6
9,Com-3b7c_84_blackbird-4
10,Ani-161e_242_mammals-5
11,Com-f597_2_frog-32
12,Coc-65ef_185_Blattodea-2
13,Psi-37fd_10_parrots-12
14,Til-f451_75_plants-6
15,Nor-d13e_197_otters-33
16,Cob-d13e_5_cobras-6
17,Com-2ad3_4_bat-4
18,Hou-905b_116_birds-24
19,Sil-d352_124_Silphidae-1
